,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Label
CG13784,84.09833327,-2.137845033,1.261125017,-1.695188823,0.090039606,0.314283139,
mEFG1,121.7747279,3.677383686,1.745913528,2.106280538,0.035179991,0.165725345,
CG5149,670.7601302,0.3060972,1.541014668,0.198633541,0.842549414,0.966342528,
CG5177,584.3175722,-1.740576888,1.12689413,-1.544578893,0.122448155,0.386512369,
CG5181,204.8857339,0.748532174,2.19003874,0.341789467,0.732509337,0.933655325,
chm,192.5863828,10.90759463,1.796400186,6.071918001,1.26E-09,7.99E-08,
lncRNA:CR43857,74.13675059,-0.842423415,1.227202119,-0.686458573,0.49242398,0.8170229,
muc,620.3261362,-0.879931864,1.0804301,-0.814427388,0.415400154,0.759559413,
CG5958,95.43831657,-0.047368542,2.266454092,-0.020899846,0.983325549,0.99698659,
CG5973,318.9555922,-1.010311528,1.529133733,-0.660708417,0.508799325,0.825938258,
RapGAP1,366.9431214,1.320813413,1.531152103,0.862627175,0.388342484,0.738508275,
Tep2,67.1027045,0.88931848,3.727878235,0.238558886,0.811447649,0.95738444,
Tep3,22.89535182,1.929667349,2.30472172,0.83726696,0.402442526,0.750732202,
CG13796,243.1534369,2.553719794,2.043612643,1.249610489,0.21144187,0.539065807,
Acp1,176.1448399,3.415245298,1.772533596,1.926759134,0.054009654,0.224042872,
CG7214,7182.512622,5.448160466,1.533578659,3.552579734,0.000381473,0.004114313,
CG7154,184.586456,1.440739723,1.56619942,0.919895452,0.357627396,0.713168408,
Herp,70.72309049,2.991273804,1.848749755,1.617998215,0.105662982,0.349908175,
r2d2,706.5588593,-0.683727089,1.822995602,-0.375056905,0.707618146,0.925334697,
cdc14,18.32846009,7.514499506,3.9084688,1.922619801,0.054527815,0.225714436,
LanB1,332.8476475,1.406102774,1.915331996,0.73413005,0.46286948,0.798809984,
CG7115,37.65999067,2.128164151,3.733296858,0.570049539,0.568644099,0.858398955,
Rack1,2962.868154,-0.205970799,0.371567104,-0.554330017,0.579353011,0.863009883,
mts,4049.44859,0.060223679,0.400963653,0.150197352,0.880608915,0.976276726,
lectin-28C,430.6475707,-4.841335291,2.584339295,-1.873335788,0.061022031,0.2440051,
CG7102,70.08426116,4.796750272,2.973886448,1.612956768,0.106753901,0.352132114,
SmE,1519.925859,-0.853651176,0.346294082,-2.46510472,0.013697321,0.080836199,
CG34132,853.2135988,-0.565085165,0.493466727,-1.145133267,0.252153957,0.596923462,
Snoo,188.7745518,-4.283266725,2.966997258,-1.4436369,NA,NA,
pes,188.7641009,2.687425288,2.507186169,1.071889005,0.283769889,0.635357417,
Sirup,605.4799531,-3.24771838,1.287600087,-2.522303636,0.011658902,0.071358223,
Wwox,174.3443033,-0.084141693,1.389000979,-0.06057713,0.951695988,0.990275981,
Spn28Dc,236.6410081,-0.139192343,1.626938516,-0.085554765,0.931820359,0.984993732,
CG12560,26.35530229,2.511469415,3.221711748,0.779545041,0.435658716,0.777096003,
Glyat,3.453301735,1.357775021,3.594603122,0.377725989,0.705634159,0.923697594,
CG7367,286.6481099,9.037140297,1.310254512,6.897240356,5.30E-12,7.79E-10,
baf,1947.174333,-0.587580918,0.503533664,-1.166914865,0.243244752,0.58268577,
Cka,743.7261437,-0.115140454,1.556610486,-0.0739687,0.941035291,0.988890828,
CCDC53,58.04395919,0.075067737,2.925971618,0.025655662,0.979531989,0.996043699,
RpL36A,2037.999059,-0.091702026,0.53159326,-0.172504118,0.863041224,0.970679876,
snoRNA:Psi28S-2648,11.63744615,0.320411256,3.739857561,0.085674722,0.931724997,0.984993732,
Megf8,17.63503237,3.09882403,3.754592672,0.825342268,NA,NA,
poe,189.3026918,10.88289991,2.311550267,4.708052455,2.50E-06,5.70E-05,
MED20,290.7541311,-0.468802438,1.961884814,-0.238955129,0.811140377,0.957214041,
Trf,97.61219179,1.985418705,2.253358972,0.881092951,0.378267512,0.729836243,
Mcr,451.8393672,6.831930945,1.114477603,6.130164419,8.78E-10,6.03E-08,
Bsg,1898.17324,0.44523178,0.364012512,1.223122188,0.22128355,0.553491363,
mon2,88.99040761,0.961093438,2.754294112,0.348943649,NA,NA,
CG12375,77.80265554,-0.16660594,3.727091699,-0.044701326,0.964345377,0.993076995,
CG8668,57.28100656,-1.35802177,3.048755642,-0.445434771,0.656005589,0.902080064,
PAPLA1,607.2545859,-2.798684801,2.689157114,-1.040729374,NA,NA,
CG43394,229.3723103,0.99507424,2.667786246,0.37299624,0.709151242,0.925424312,
Rbsn-5,424.4689066,0.268270481,2.240579667,0.119732623,NA,NA,
Acbp1,3484.681412,-1.105425687,0.518973469,-2.130023505,0.033169673,0.159551012,
Piezo,58.87731494,-0.329119854,3.727769641,-0.088288678,NA,NA,
CG34134,8.153846851,6.345472376,3.910595404,1.62263587,0.104667268,0.347983145,
CG8475,93.49566829,8.900830606,2.165286016,4.110695096,3.94E-05,0.000606988,
CG8460,1234.043231,1.213509893,1.086305254,1.117098429,0.263952242,0.61348805,
PGAP5,78.40790184,8.646513186,2.144843919,4.031301816,5.55E-05,0.000811058,
Su(var)205,3301.37328,-0.853922342,0.473981592,-1.801593896,0.071609322,0.269993327,
Ssb-c31a,3740.274676,-1.96475447,0.731099795,-2.687395732,0.007201158,0.048100463,
CG8372,1027.478746,-0.470819274,0.423733168,-1.111122069,0.26651581,0.616521027,
CG8360,542.7812098,-0.696352686,0.743614293,-0.936443385,0.349044949,0.703921674,
CG8353,28.27227422,-0.247893651,3.730812604,-0.066444948,0.947023586,0.990190266,
Snx6,587.2696912,1.039764357,2.197659957,0.473123403,NA,NA,
Pvr,122.3979767,-1.204051293,2.098110131,-0.57387421,0.566052927,0.856766626,
Btk29A,517.1490746,0.808042725,0.934466538,0.864710177,0.387197882,0.73799648,
wol,596.492497,0.769506994,1.895190755,0.40603142,0.684719514,0.914713278,
CG7840,119.0895225,3.316828301,2.065720931,1.605651689,0.108350462,0.355404026,
Ostgamma,1124.904386,0.932532581,0.746772305,1.248750891,0.211756201,0.539065807,
Mettl14,194.7873069,0.833876612,1.841773425,0.452757435,0.650723417,0.89963287,
CG7810,127.8347743,0.828785865,2.755852289,0.300736679,0.763615297,0.94356332,
strat,529.261171,0.050769351,1.149966344,0.044148554,0.96478599,0.993076995,
CG14275,610.7692826,-1.172215503,1.093771409,-1.07171891,0.283846305,0.635357417,
CG7778,175.7162805,4.438455601,1.611991251,2.753399312,0.005897991,0.041354785,
CG7627,380.8948558,-3.141691062,3.308203904,-0.949666693,NA,NA,
RpS13,4673.429058,-0.231090732,0.417906344,-0.552972539,0.580282215,0.863365964,
CSN8,536.6386486,-0.964018843,0.885679237,-1.088451443,0.276395862,0.630585541,
Pp2A-29B,2933.23582,0.51485556,1.198293285,0.429657386,0.667444887,0.906721799,
CG17292,271.0763441,-0.008673827,1.930006543,-0.004494196,0.996414163,0.998963406,
Wdr82,618.9974066,-0.62737484,0.68703337,-0.913165017,0.36115576,0.716939193,
CG13390,544.2330787,-0.138963706,0.847788488,-0.163913179,0.869799492,0.973469682,
CG17294,411.7050603,0.755120643,1.538455311,0.490830405,0.623546403,0.888540495,
AlaRS,1175.079265,0.961424312,1.019678299,0.942870229,0.345747284,0.702398839,
CG13392,73.8378526,-2.025930549,3.728068873,-0.543426266,NA,NA,
Rcd4,341.45722,0.841831716,0.906167359,0.929002472,0.352887805,0.708528845,
Dad1,770.2853395,0.288876384,0.517238031,0.558497958,0.576504398,0.861654682,
CG13384,189.0306506,9.917248288,1.819247047,5.451292777,5.00E-08,2.07E-06,
fy,218.1066425,0.930218547,1.621121492,0.573811742,0.566095202,0.856766626,
emb,284.3525583,7.517504684,1.223147215,6.146034255,7.94E-10,5.74E-08,
CG13398,71.35082898,8.509847696,2.348964548,3.62280806,0.000291422,0.003281569,
Akap200,5848.677638,-0.474208108,0.44790818,-1.058717231,0.289728578,0.640133923,
grk,34.33814442,-6.838854776,3.834840825,-1.783347755,NA,NA,
Chrac-14,228.6911698,0.184511291,1.861113399,0.099140273,0.921026896,0.983552725,
mus201,87.32792037,9.766753545,2.341879008,4.170477429,3.04E-05,0.000484198,
prg,343.3302808,-2.329267696,2.209731382,-1.054095405,NA,NA,
d,99.11684559,1.064571275,1.744078668,0.610391776,0.541602315,0.846258927,
CG13096,1396.267584,-0.502295971,0.894715443,-0.561403042,0.574522811,0.861456564,
CG13097,232.4638488,2.321041256,1.893773035,1.225617438,0.220342672,0.552646863,
PIG-U,992.6031205,-0.72780821,0.754929074,-0.964074951,0.33500835,0.690213489,
mRpL51,842.2895216,-0.523092841,0.826668734,-0.632772015,0.526882534,0.840101428,
Uba4,543.73724,0.163757594,2.020232101,0.081058802,0.935395189,0.986764702,
CG17834,122.7947355,3.939014318,3.497343729,1.126287441,NA,NA,
Sema1a,225.5687063,-4.454354943,2.621801412,-1.698967329,NA,NA,
Glt,71.15616123,-0.424798439,1.382927228,-0.307173386,0.758711402,0.941471034,
PrBP,508.0455741,-1.070711166,0.578167577,-1.851904547,0.064039531,0.251284621,
Trs23,245.8807358,-2.855059787,1.723270478,-1.656768234,0.097566342,0.330735269,
Hnf4,87.01513442,9.761316938,2.58984945,3.769067324,0.000163859,0.002023448,
asRNA:CR44992,31.06647547,8.275567227,3.011688489,2.747816468,0.005999358,0.041782259,
CG9314,24.90084389,6.148498869,2.268036554,2.710934645,0.006709385,0.045698453,
raw,309.9979145,-0.347172503,1.406383497,-0.24685479,0.805020606,0.955743427,
CG34398,278.3468963,1.522995755,0.967666156,1.573885524,0.115513917,0.37141546,
Tsp29Fb,59.60128437,-0.519860795,2.231311011,-0.232984462,0.815773471,0.958577803,
CG9515,63.68048379,9.310901251,2.54510584,3.658355225,0.000253839,0.002954586,
C1GalTA,276.963385,-1.028117633,2.772883383,-0.370775648,0.710804641,0.925589207,
CG13101,57.05819871,2.825404531,3.732839276,0.756904952,NA,NA,
alien,2015.335744,-0.428166468,0.652817573,-0.655874606,0.511904809,0.828952381,
CG18661,128.1409539,-3.332321271,2.274677638,-1.464964184,0.14293069,0.426160463,
CG32982,395.876133,0.071237755,0.857452548,0.083080696,0.933787375,0.985776255,
CG9586,424.1112905,-1.150809941,1.375563858,-0.836609608,0.402812043,0.751183118,
tai,575.3792555,-0.599733608,0.700687075,-0.85592218,0.392040826,0.741685218,
borr,427.6142136,0.082320272,1.316898445,0.062510722,0.950156124,0.990211804,
Cks30A,169.7744028,-1.417047889,1.949751273,-0.726783928,0.46735833,0.799873152,
Aldh,163.4753332,-0.061377967,1.763695294,-0.034800777,0.972238601,0.995698309,
Fbp2,10873.71334,-3.79697411,0.800055414,-4.745888899,2.08E-06,4.80E-05,
FucTB,1013.077136,-2.690951859,1.660245345,-1.620815783,0.105057153,0.348884713,
scat,198.3270652,0.881138315,2.001263285,0.440291051,0.659726322,0.90372205,
numb,1465.854698,-0.460704286,1.041859319,-0.442194332,NA,NA,
Gdi,7038.474744,0.430829627,0.281997448,1.527778461,0.126567552,0.393727427,
CG33298,70.37128225,-0.285152338,1.57530429,-0.181014131,0.856356484,0.969720911,
brwl,142.3221185,-1.267210204,3.72624979,-0.340076558,NA,NA,
Mtpalpha,2014.065653,0.857726243,0.483969724,1.772272522,0.07634933,0.283167561,
Trx-2,2047.765715,-1.264706086,0.665938814,-1.899132561,0.057547049,0.233929152,
Pka-C1,670.3333241,-0.037495517,0.89241254,-0.042015902,0.966486022,0.993417259,
hoip,3110.499881,-0.662383659,0.435306267,-1.52164972,0.128096872,0.396082806,
pelo,608.8144213,-0.350595692,1.345659961,-0.260538102,0.794448729,0.953164964,
CG31710,539.324208,0.443518952,1.015934978,0.436562341,0.662428779,0.904556572,
CG4364,992.5893833,2.17565887,2.095241024,1.038381191,0.299092623,0.649816073,
CG13117,1340.743482,-1.588368555,0.569411817,-2.789489975,0.005279113,0.037809635,
zf30C,260.3737718,2.54384939,1.805752532,1.408747514,0.15890984,0.456758943,
Taf11,445.5449665,-0.820752888,0.769776021,-1.066222986,0.286322854,0.63762676,
und,1005.743947,1.077796877,0.709141274,1.519862001,0.128545662,0.397052761,
CG4017,7467.505336,2.404866161,0.746771277,3.220351713,0.001280334,0.011740724,
hpRNA:CR18854,185.0025517,3.224151359,1.298117037,2.483713923,0.013002021,0.077841984,
CG4036,665.7949585,0.00036477,1.312281918,0.000277967,0.999778215,0.999838848,
CG13123,30.17617525,-2.213204111,3.47623015,-0.636667889,NA,NA,
Fkbp59,3920.730862,-0.706617309,0.383141743,-1.844271271,0.065143616,0.253714375,
CG34183,124.3233554,-0.307533567,1.680338699,-0.183018797,0.85478327,0.969720911,
CG4537,67.75636891,-0.722872061,2.168171443,-0.333401707,0.738831075,0.933655325,
mtDNA-helicase,382.6058345,0.875689443,2.540648238,0.344671659,0.730341227,0.933602614,
Uhg2,401.2408699,-2.296299534,1.232495055,-1.863130829,0.062443862,0.247501699,
snoRNA:Me18S-A1576,30.65876762,-2.868790474,2.382998887,-1.203857244,0.22864476,0.563422172,
Bka,556.4416775,-0.922487991,0.665112524,-1.3869653,0.165452344,0.468227282,
RpS2,12082.02347,-0.492549695,0.477358059,-1.031824404,0.302154385,0.652964512,
CG13124,117.9522086,0.138510112,1.303734943,0.106241006,0.915391137,0.983552725,
Etl1,307.488187,-1.683842154,2.389450211,-0.704698573,0.480997839,0.812304221,
Srp54,673.790863,-0.494390842,0.683385174,-0.723443909,0.469407203,0.801619855,
yip2,2321.254469,-0.422914406,0.555373251,-0.761495814,0.446360978,0.784133243,
CG5885,2261.865934,-0.174924112,0.414717202,-0.421791311,0.673177348,0.909849725,
CG4598,1632.460666,-0.922328341,0.474843153,-1.942385259,0.052090478,0.218861924,
CG4594,100.0576193,-1.807133096,2.807327285,-0.643720134,0.519756932,0.83585256,
CG4592,467.1304713,-2.101353958,1.05299402,-1.995599138,0.045977573,0.201834337,
CG31712,420.1023361,-0.167424579,0.923784947,-0.181237613,0.856181072,0.969720911,
CG4619,532.3393798,0.518973081,1.543358289,0.336262217,0.736673139,0.933655325,
CG13126,193.1560327,0.523507594,2.903676042,0.180291323,0.856923868,0.969720911,
CG4709,145.9358203,0.858048528,2.641033935,0.324891141,NA,NA,
CG5846,216.5156256,-0.19075587,1.938103488,-0.098423986,0.921595629,0.983552725,
CG4658,186.023625,10.85756468,1.840471492,5.89933869,3.65E-09,1.93E-07,
CG5850,125.8159973,1.769746105,3.481660825,0.508305144,0.611239363,0.880172704,
Dref,1047.803686,0.898460411,1.194831627,0.751955665,0.452077721,0.790161417,
RpL13,5416.471956,-0.968244843,0.489145394,-1.97946225,0.047763986,0.205833364,
bib,172.7926386,10.75108152,2.035262436,5.28240552,1.27E-07,4.51E-06,
Ndf,1252.965828,1.493168668,1.193725817,1.25084726,0.210990209,0.539065807,
Trp1,1507.309024,0.19313782,1.212181976,0.159330714,0.873408324,0.975005085,
obst-B,3652.050355,-1.504827994,0.709867041,-2.119873028,0.034016755,0.16229747,
Cpr31A,327.7681674,0.174389476,1.839510977,0.094802085,0.924472031,0.983898352,
Pen,661.8872716,1.986215102,1.122479172,1.769489493,0.076812223,0.284441,
Ripalpha,122.7466485,-1.962323896,2.397921822,-0.818343566,0.413161036,0.759300288,
RpL7,4049.546804,0.11011647,0.417949078,0.263468629,0.7921894,0.951857992,
CG34159,2209.259443,-1.290001746,0.473692616,-2.723288696,0.006463555,0.044345272,
CG5734,268.9207904,2.186636393,2.15937605,1.012624176,0.311239708,0.66381241,
CG5727,273.7960163,0.558648498,1.197044715,0.466689749,0.640721865,0.895036371,
CG4901,151.7749146,9.600152808,2.958276366,3.245184568,0.001173745,0.010951229,
Npc1a,89.64129494,4.061548401,2.476232645,1.640212768,0.100960935,0.339307249,
Prosalpha6,1698.460631,-0.821349744,0.740272042,-1.109524198,0.267204112,0.617384343,
CG4908,198.1285961,-3.087838314,3.420716687,-0.902687535,NA,NA,
CG5708,629.1450237,0.376072138,1.443234561,0.260575895,0.794419581,0.953164964,
ova,268.0176359,0.793351308,1.760609467,0.450611747,0.652269399,0.899719083,
eEF1delta,3379.033974,-0.101728516,0.307525835,-0.330796649,0.740798092,0.934038416,
me31B,3694.301122,-0.841975358,0.632913379,-1.33031689,0.183413885,0.49984913,
chico,191.9242679,-1.820718488,1.685706282,-1.080092367,0.280101051,0.632757101,
bsk,1307.939543,-0.92370054,0.635213994,-1.454156472,0.14590293,0.431397093,
CG31717,1380.570997,-1.260175982,0.721927004,-1.745572577,0.080885251,0.293121766,
CG5676,1184.299109,-0.862648116,0.747723263,-1.153699716,0.2486233,0.591140996,
Pten,197.669485,1.11402822,1.853904246,0.600909255,0.547900428,0.847692076,
Rsf1,573.83123,-0.903063897,1.216429216,-0.742389187,0.457851569,0.795748534,
REPTOR-BP,1566.879346,-0.765976898,0.824996259,-0.928461056,0.35316846,0.708748449,
Mob3,695.5375834,-2.192129469,1.1966618,-1.831870517,0.066970714,0.258472658,
CG4953,91.48316716,9.833685723,2.146885961,4.580441581,4.64E-06,9.64E-05,
CG4957,163.9568276,1.226159152,1.964316125,0.624216813,NA,NA,
Mulk,608.3769182,-1.16176599,1.664582657,-0.697932293,0.485219538,0.814193675,
Utx,193.260185,-0.900009331,1.253947355,-0.717740922,0.472917046,0.804322638,
Ufd4,49.4418957,7.978121339,2.226752117,3.58285113,0.000339864,0.003685835,
CYLD,100.2371549,5.054348502,2.386932951,2.117507532,0.034216797,0.162866028,
nmd,1265.417732,-0.55486552,0.739971747,-0.7498469,0.453346918,0.79120344,
CG5390,1493.693207,0.402790799,0.531615196,0.757673599,0.448646408,0.786072608,
CG4968,1431.638006,-0.316886151,0.762273162,-0.415712066,0.677620711,0.911454128,
l(2)SH0834,794.115745,-0.224289438,0.396407789,-0.56580482,0.571526469,0.860105828,
Usp14,1288.531722,0.381177201,1.38696579,0.27482812,0.783448293,0.950645363,
CG4972,912.9775883,-0.502164728,1.493430325,-0.336249184,0.736682967,0.933655325,
CG5381,97.00376931,-0.847289987,3.090469428,-0.274162229,0.783959953,0.950839558,
RnrL,470.3791647,4.044843068,2.218695087,1.823072982,0.068292338,0.261817604,
CG5037,1481.993251,-1.588987146,0.762323839,-2.084399128,0.037123877,0.172210099,
GATAd,375.420564,0.47697339,1.749476384,0.272637798,0.785131653,0.950839558,
SamDC,990.0115078,-1.503180182,0.895900193,-1.677843351,0.093377684,0.320416828,
CG31715,1852.486816,-0.52844489,0.64603971,-0.817975864,0.413370969,0.759300288,
Sps2,59.75860462,9.219218761,2.613404654,3.527666007,0.000419241,0.004472409,
CG5045,1107.13695,-0.017463843,0.406826476,-0.042927008,0.965759719,0.993130796,
Cand1,141.9570098,9.503719922,1.882362014,5.048826873,4.45E-07,1.29E-05,
pim,99.42770982,4.232705116,1.795664087,2.357180915,0.018414273,0.101063583,
lft,951.6913618,1.353361515,0.465224228,2.909052093,0.003625264,0.027928315,lft
CG5056,315.302642,0.290663153,1.14369425,0.254144106,0.79938423,0.954117865,
CG33303,2574.790115,-0.884687325,0.600673146,-1.472826496,0.140797826,0.420319766,
gny,238.263238,1.317122005,2.533100558,0.519964358,0.603088417,0.875385229,
Cdk1,740.3779713,-0.6149378,0.863062821,-0.712506419,0.476151238,0.807273428,
mRpS7,695.2418642,0.149730512,0.53057948,0.282201851,0.777788739,0.948908719,
da,272.6850902,1.290224837,1.703053121,0.757595181,NA,NA,
Mdh1,3226.750766,-0.656501737,0.349186223,-1.880090603,0.060095731,0.241450927,
Cnot4,1406.544272,-1.409862392,1.90016622,-0.741967927,0.458106768,0.795748534,
RpS27A,4548.427552,-0.172350188,0.441388627,-0.390472654,0.696187073,0.91955745,
Ip259,441.6280071,1.561829861,1.07508505,1.45275005,0.146293165,0.432116193,
CG5355,1269.753018,-0.987237521,0.989216196,-0.997999755,0.318279478,0.671758265,
Klp31E,174.4975892,1.650591342,2.755676699,0.598978589,0.549187162,0.84857421,
RfC3,406.6867445,-1.253722036,0.56688567,-2.211595921,0.026994598,0.137142821,
pie,210.4508002,-1.065898742,1.794616119,-0.593942476,0.552550588,0.850414563,
Wdfy2,914.285284,1.77026467,1.399007103,1.265372181,0.205737943,0.532185279,
SmB,2002.44863,-0.920937426,0.476810428,-1.931454037,0.053426928,0.222568025,
KdelR,2144.553216,0.852976012,0.66199343,1.28849619,0.197573294,0.520311749,
CG5188,759.3889226,-1.742754708,0.667747228,-2.609901824,0.009056821,0.058181414,
Bug22,353.6951147,-0.455139808,1.562045097,-0.291374307,0.770765062,0.94646817,
TfIIB,2071.090124,-1.146642073,0.707924722,-1.619723167,0.105291757,0.349466375,
holn1,699.0517458,-3.271417032,1.073987428,-3.04604779,0.00231871,0.019115534,
STUB1,1037.096693,-0.862911101,0.741671896,-1.163467438,0.244639902,0.585025771,
Nse4,64.06805519,-0.698335582,3.323412978,-0.210126032,0.833569308,0.96186109,
LManII,487.3626823,2.50866181,1.908570945,1.314418946,0.188705258,0.507830043,
RluA-2,223.2306709,11.12064524,1.863255758,5.968394401,2.40E-09,1.35E-07,
Grip75,127.0462919,9.343816568,1.922772322,4.859554333,1.18E-06,3.05E-05,
CG7456,174.9616366,8.89587029,1.451335706,6.129436666,8.82E-10,6.03E-08,
CG6144,190.6945296,-0.803701592,1.661846316,-0.483619685,0.628655802,0.890670037,
Myo31DF,174.0540863,1.383706521,2.283135692,0.606055315,NA,NA,
CG6094,220.0559848,-1.246209438,1.832400434,-0.680096672,0.496443251,0.818539532,
Fatp1,634.0086292,-13.26870391,2.009078798,-6.604372075,3.99E-11,4.60E-09,
Lrr47,133.2472393,-0.689405665,2.784184851,-0.247614904,0.804432378,0.955743427,
Trim9,112.0378474,-2.144550259,3.077183444,-0.696919861,NA,NA,
CG17104,201.4066982,-0.054112851,2.238659143,-0.024171992,0.980715419,0.996694095,
CG17105,289.9125839,-3.279681629,1.274410145,-2.573489895,0.010067859,0.063090483,
CG17107,71.42948181,-6.474981078,2.266525543,-2.856787165,0.004279527,0.031882204,
CG7299,15.0024521,7.22514195,3.908847166,1.84840738,0.064543432,0.252083915,
CG7296,51.84646852,9.014448693,2.787386137,3.234015042,0.00122063,0.011318582,
CG7294,175.1817521,0.356818369,1.943025463,0.183640604,0.854295408,0.969720911,
CG6415,23.43924481,-1.256022956,3.732773373,-0.33648519,0.736505018,0.933655325,
CG6443,315.5517021,-0.64918171,1.829483629,-0.35484423,0.722706291,0.930573401,
EMC3,408.653065,0.315839324,1.586461219,0.199084176,0.842196899,0.966126732,
Dpy-30L1,344.6515048,0.052834942,1.81092017,0.029175744,0.976724427,0.995898903,
Nup107,371.6752842,4.083934783,1.530103326,2.66905817,0.007606428,0.0502854,
CG12299,28.08766394,8.130098425,3.133018295,2.594973173,0.00945983,0.060243643,
CG6729,79.45762051,9.630314122,3.033065503,3.17510918,0.001497801,0.013400421,
CG17124,276.1575404,-2.326779355,1.846029097,-1.260423987,0.207516453,0.534757435,
Ubc2,907.3663781,-1.23700057,0.814537282,-1.518654331,0.128849528,0.397573503,
CG6724,1050.079818,0.077480327,0.900261936,0.086064204,0.931415379,0.984993732,
CG31869,72.39910213,4.011945939,1.783702678,2.249223477,0.024498282,0.127547297,
CG6700,331.4205117,1.12962143,1.006135879,1.12273248,0.261551129,0.610078388,
porin,8655.054179,-0.283815581,0.365809883,-0.775855422,0.437834356,0.778730552,
Dnz1,115.1453194,0.159800882,2.754223458,0.058020304,0.953732456,0.990468523,
aurB,732.6408108,-1.240955441,1.174897436,-1.056224487,0.290865666,0.64130097,
CG33129,4323.763558,-0.418123243,0.320070487,-1.30634738,0.191434452,0.511943451,
YL-1,58.57960066,9.19059846,2.865587034,3.207230613,0.001340195,0.012175683,
abo,153.2808662,9.614472578,2.911797933,3.301902398,0.000960315,0.009133868,
ATPsynG,6220.824256,-0.995501674,0.533650733,-1.865455462,0.062117589,0.246874368,
SCAR,116.4180047,9.217698803,1.946472674,4.735591169,2.18E-06,5.02E-05,
TTLL4A,371.1206812,0.734844612,2.522761807,0.291285769,0.770832771,0.94646817,
RpL9,2642.715447,-0.01952327,0.319729083,-0.061061914,0.951309901,0.990275981,
Nup154,677.3033389,2.912867334,2.027952478,1.436358773,0.150900278,0.442169409,
Art8,3.872915894,0.150697413,3.768482473,0.039988885,0.968101988,0.993627289,
Samuel,1296.497547,-0.404831027,0.85663423,-0.472583295,0.636510503,0.893957581,
CG18666,13.46177203,7.068791711,3.909085457,1.808298076,0.070560121,0.267734332,
Ge-1,735.9031589,-0.24211172,0.937775819,-0.258176544,0.79627066,0.953164964,
Reps,217.3951047,10.11971786,1.911903034,5.293007901,1.20E-07,4.39E-06,
l(2)gd1,485.1787941,-2.430338534,3.101480704,-0.783605886,NA,NA,
CG6230,260.26824,11.34213765,1.778674646,6.376735439,1.81E-10,1.66E-08,
Csl4,355.817965,-0.475533723,1.037345351,-0.458414088,0.646654972,0.898365326,
Nup160,236.6246447,11.20463781,2.716736808,4.124300073,NA,NA,
RfC38,247.5867917,0.1053687,1.831590457,0.057528526,0.954124183,0.990468523,
CG6287,1062.673349,1.156747588,1.661838119,0.696065143,0.486388035,0.814545365,
CG4788,920.7330397,-1.955456365,0.992922134,-1.969395482,0.048907694,0.209668948,
ab,244.6988402,2.056987444,1.047508838,1.963694596,0.04956552,0.21112038,
cmet,11.03968306,4.259704836,3.819990014,1.115108893,NA,NA,
cana,48.85891572,3.575016352,3.739152077,0.95610349,0.339019952,0.693742539,
CG33695,364.6694334,-0.14950769,1.870539378,-0.079927582,0.936294852,0.987068892,
Ppt2,393.0697878,0.612991542,1.788799285,0.342683244,0.731836769,0.933655325,
mre11,363.2076867,-0.884271286,1.084152975,-0.815633316,0.414709889,0.759343661,
salr,56.56097917,-1.203193116,3.060984308,-0.393073925,NA,NA,
salm,136.6972498,-1.888993731,1.962554054,-0.962518065,0.335789433,0.690370859,
Dlg5,233.0541123,1.704239922,2.547375121,0.669018044,0.503483968,0.820937243,
CG31705,569.3844483,7.74267084,1.267099393,6.110547353,9.93E-10,6.71E-08,
crol,649.955747,0.664868534,1.244588249,0.534207626,0.593197893,0.87126867,
CycY,104.5848729,9.062070543,2.04971169,4.421144002,9.82E-06,0.000185563,
esc,310.6285779,-2.744364449,2.056548958,-1.334451309,0.182055994,0.498289771,
lncRNA:CR43314,388.8758542,1.431551596,0.737694904,1.940574062,0.052309963,0.21931381,
CG6686,398.5217022,3.571711496,1.656886616,2.155676473,0.031108937,0.15276385,
CG34163,402.0321764,-0.576624905,0.667410751,-0.863973055,0.387602693,0.738039724,
zuc,165.394496,0.465022012,2.110972026,0.220288098,0.825646789,0.96033788,
dgt2,434.7039889,-0.757582153,0.622711386,-1.216586319,0.22376165,0.556610656,
escl,48.24977574,6.538448276,2.346006983,2.787054055,0.005318961,0.038035098,
Ada1-2,49.66564138,-0.651517699,2.203340433,-0.295695431,0.767462687,0.94555415,
CG18789,16.12108222,-0.649287246,3.549084476,-0.182944996,0.854841177,0.969720911,
Qtzl,415.61754,0.533436369,1.181584652,0.451458445,0.651659169,0.899719083,
CG18787,38.00942591,1.113099368,3.072504784,0.362277505,0.717144666,0.927625629,
Nfs1,750.3344341,1.104944625,1.534800443,0.719927226,0.471569804,0.803678547,
Hacd1,984.9326582,-0.583839931,0.453826951,-1.2864814,0.198275106,0.52099288,
Wdr81,22.73033638,7.824668636,3.84780569,2.033540482,0.041997948,0.187586579,
Tom70,765.0552604,1.015183232,1.499111308,0.67719003,0.498285393,0.819049647,
CG6766,586.3314479,2.339639011,0.778785868,3.00421349,0.002662684,0.021503283,
CG6770,2846.714869,1.362255619,0.476639807,2.858039971,0.004262667,0.031796899,
lncRNA:CR44589,9.258990273,-1.765158812,3.747601865,-0.471010229,0.63763343,0.894312735,
JhI-21,420.3753745,1.917760829,2.237009529,0.857287733,0.391285886,0.740733797,
