,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Label
Sec8,264.0833207,8.991672052,1.699091086,5.292048275,1.21E-07,4.39E-06,
jagn,833.0982142,-0.452971362,1.626673986,-0.278464748,0.780655622,0.950645363,
Hat1,891.1419508,-1.248518385,0.712222331,-1.752989664,0.079603781,0.290989444,
Rpn5,2675.282226,-0.126486914,0.745670388,-0.169628452,0.865302345,0.971912267,
CG1218,274.7572072,-0.703930988,1.642534905,-0.428563792,0.6682407,0.906721799,
CG2046,500.6910244,-0.393457074,1.555461864,-0.252951926,0.800305363,0.954585009,
CG10979,115.0112501,0.750634408,3.590547883,0.209058459,0.834402603,0.962255935,
CG42675,197.2632136,1.178534923,2.032205464,0.57992902,0.561962485,0.855236976,
Hpr1,237.535616,1.229898498,1.76755533,0.695818952,NA,NA,
CG2023,78.60035622,0.215203254,3.17474956,0.067785899,0.945956069,0.990190266,
dgrn,194.086979,4.399871986,1.81920429,2.418569487,0.015581669,0.089442433,
ECSIT,429.3123768,-0.825273001,1.99653915,-0.413351775,NA,NA,
CG2017,74.48367045,1.945226661,2.706138145,0.718820163,0.472251733,0.803908395,
Rm62,10504.8426,0.857234463,0.526213259,1.629062834,0.103299718,0.344801671,
Gasp,2593.680349,0.582226365,0.654061042,0.890171296,0.373373915,0.729010651,
Osi9,12.66695477,6.981596481,3.909229998,1.785926253,0.0741112,0.277822469,
CG17919,96.40444613,-0.283005042,1.990548763,-0.142174383,0.886942266,0.978475006,
SmD2,2429.842632,-0.825340653,0.441718215,-1.868477744,0.061695509,0.245528913,
Pak,91.68251669,8.872526374,1.939513863,4.574613537,4.77E-06,9.84E-05,
CG42724,813.4254226,-0.793946601,1.709140612,-0.464529714,0.642268276,0.895814994,
